,inputs,targets,predictions
0,faarm,ஃபார்ம்,பார்ம்
1,farm,ஃபார்ம்,பார்
2,form,ஃபார்ம்,போர்
3,hpaarm,ஃபார்ம்,ஹார்ம்
4,face,ஃபேஸ்,பாக்
5,hpaes,ஃபேஸ்,ஹுடேம்ஸ்
6,pace,ஃபேஸ்,பாக்
7,paes,ஃபேஸ்,பாஸ்
8,phase,ஃபேஸ்,பாசே
9,aeathimuka,அஇஅதிமுக,ஏதிமுக்க
10,aiathimuka,அஇஅதிமுக,ஆதிமுக்க
11,ayiathimuka,அஇஅதிமுக,அய்திமையும்
12,agaththi,அகத்தி,அகத்தி
13,akaththi,அகத்தி,அகத்தி
14,agaththikkeerai,அகத்திக்கீரை,அகத்திக்கேற்சு
15,akaththikkeerai,அகத்திக்கீரை,அகத்திக்கொரிச்
16,agamadhabaath,அகமதாபாத்,அகமாதபாத்
17,agamathaabaath,அகமதாபாத்,அகமாதபாத்
18,ahamadabad,அகமதாபாத்,ஆக்கப்பட்டால்
19,ahemadaabad,அகமதாபாத்,ஏகபாபாட்டு
20,ahmadabad,அகமதாபாத்,ஆக்பாடப்
21,ahmedabad,அகமதாபாத்,ஆக்ராட்டாப்
22,akamatapat,அகமதாபாத்,அகமாடப்பட்ட
23,agamadhabaatthil,அகமதாபாத்தில்,அகமாதபதில்
24,agamathaabaaththil,அகமதாபாத்தில்,அகமாதபாத்தில்
25,ahmadabadil,அகமதாபாத்தில்,ஆக்பாளப்படி
26,ahmedabadil,அகமதாபாத்தில்,ஆக்ராட்டோடில்
27,ahmedabadthil,அகமதாபாத்தில்,ஆமியப்பட்டில்
28,agazhaaivil,அகழாய்வில்,அகழைவில்
29,agazhaayvil,அகழாய்வில்,அகழாய்தில்
30,akalvaaivil,அகழாய்வில்,அகலவைத்
31,akazhaayvil,அகழாய்வில்,அகழாய்தில்
32,akazhvaaivil,அகழாய்வில்,அகழ்வாய்வில்
33,ahimsai,அகிம்சை,ஆகிஷம்
34,akimsai,அகிம்சை,அகிமைக்
35,angkeegariththu,அங்கீகரித்து,அங்கீகரித்து
36,angkeekariththu,அங்கீகரித்து,அங்கீகரித்து
37,angkeegariththullathu,அங்கீகரித்துள்ளது,அங்கேகரித்துடல்
38,angkeekariththullathu,அங்கீகரித்துள்ளது,அங்கேகரித்துடல்
39,angkeegaarangkal,அங்கீகாரங்கள்,அங்கீகர்களேக்
40,angkeekaarangkal,அங்கீகாரங்கள்,அங்கீகர்களேக்
41,angkeegaaraththaip,அங்கீகாரத்தைப்,அங்கீகரேத்தைப்
42,angkeekaaraththaip,அங்கீகாரத்தைப்,அங்கியமேற்றது
43,asaiyaa,அசையா,ஆசியா
44,ashokan,அசோகன்,அசோகன்
45,asokan,அசோகன்,அசோகன்
46,achoakaa,அசோகா,அசோகா
47,ashok,அசோகா,அசோக்
48,ashoka,அசோகா,அசோக்கோ
49,ashokaa,அசோகா,அசோசு
50,asok,அசோகா,அசோக்
51,asoka,அசோகா,அசோக்
52,asokaa,அசோகா,அசோக்க
53,asook,அசோகா,அசோக்
54,asooka,அசோகா,அசோக்
55,asookaa,அசோகா,அசோவோ
56,asoq,அசோகா,அசோக்
57,asoqa,அசோகா,அசோக்
58,asoqaa,அசோகா,அசோக்கா
59,adakki,அடக்கி,அடக்கி
60,adakkik,அடக்கிக்,அடக்கிக்
61,adainkiya,அடங்கிய,அடைஞ்சிய
62,adangiya,அடங்கிய,அடங்கிய
63,adankiya,அடங்கிய,அடங்கிய
64,adanggiyadhu,அடங்கியது,அடங்கியது
65,adanggiyathu,அடங்கியது,அடங்கியது
66,adangiyadhu,அடங்கியது,அடங்கியது
67,adangiyathu,அடங்கியது,அடங்கியது
68,adankiyathu,அடங்கியது,அடங்கியது
69,adangiyulla,அடங்கியுள்ள,அடங்கியுள்ள
70,adangkiyulla,அடங்கியுள்ள,அடங்கியுள்ள
71,adankiyuzhzha,அடங்கியுள்ள,அடங்கியுள்ள
72,pidiththu,அடம்,பிடித்து
73,pitittu,அடம்,பிடித்து
74,aada,அடா,ஆட
75,aadaa,அடா,ஆடா
76,ada,அடா,ஆட
77,adaa,அடா,ஆடா
78,manadhil,அடி,மனதில்
79,manathil,அடி,மனத்தில்
80,manatil,அடி,மண்டலில்
81,adigalum,அடிகளும்,அடிகாலும்
82,adihalum,அடிகளும்,அதியாலும்
83,adikalum,அடிகளும்,அடிகாலும்
84,adigalaiyum,அடிகளையும்,அடிகாலையும்
85,adigalayum,அடிகளையும்,அடிகாலையும்
86,adikalaiyum,அடிகளையும்,அடிகாலையும்
87,adikalayum,அடிகளையும்,அடிகாலையும்
88,adikkadi,அடிக்கடி,அடிக்கட்டி
89,adikkadik,அடிக்கடிக்,அடிக்கட்டைக்
90,adikku,அடிக்கு,அடிக்கு
91,adith,அடித்,அடித்
92,adiyilirundhu,அடியிலிருந்து,அடியிலிருந்து
93,adiyilirunthu,அடியிலிருந்து,அடியிலிருந்து
94,adiyilum,அடியிலும்,அடியிலும்
95,adiyum,அடியும்,அடியும்
96,atiyum,அடியும்,அடியும்
97,adiyai,அடியை,அடியை
98,atiyai,அடியை,அடியை
99,aduththum,அடுத்தும்,அடுத்தும்
100,aduthum,அடுத்தும்,அடுத்தும்
101,adutthum,அடுத்தும்,அடுத்தும்
102,adaithal,அடைதல்,அடைத்தல்
103,ataithal,அடைதல்,அடைத்தல்
104,attooliyangalum,அட்டூழியங்களும்,அடுடிலர்க்கன
105,attoozhiyangalum,அட்டூழியங்களும்,அடுத்திரங்களை
106,attoozhiyanggalum,அட்டூழியங்களும்,அடுத்திரங்களை
107,andar,அண்டர்,அன்டர்
108,antar,அண்டர்,அன்டர்
109,under,அண்டர்,உன்றே
110,annan,அண்ணன்,அன்னன்
111,adhanadhan,அதனதன்,அதனாதும்
112,adhanathan,அதனதன்,அதனாதும்
113,athanathan,அதனதன்,அதனத்தன்
114,adhanudan,அதனுடன்,அதனுடன்
115,athanudan,அதனுடன்,அதனுடன்
116,adhaavadhu,அதாவது,அதகத்து
117,adhavadhu,அதாவது,அதவது
118,athaavathu,அதாவது,அதவாது
119,athavathu,அதாவது,அதவது
120,adhigappadiyaaga,அதிகப்படியாக,அதிகப்படியாக
121,athigappadiyaaga,அதிகப்படியாக,அதிகப்படியாக
122,athikappatiyaaka,அதிகப்படியாக,அதிகப்படியாக
123,adhikamaanathu,அதிகமானது,அதிகமானது
124,athigamaanathu,அதிகமானது,அதிகமானது
125,athikamaanathu,அதிகமானது,அதிகமானது
126,adhidhi,அதிதி,அதித்தி
127,adiiti,அதிதி,அடியிடு
128,adiitii,அதிதி,அடியிடி
129,adiittii,அதிதி,அடிட்டி
130,aditi,அதிதி,அடிடி
131,aditii,அதிதி,அட்டி
132,aditti,அதிதி,அட்டிடி
133,athithi,அதிதி,அதித்தி
134,atiti,அதிதி,அடிடி
135,adhiradi,அதிரடி,அதிரைத்
136,athiradi,அதிரடி,அதிராட்டி
137,adhirvu,அதிர்வு,அதிர்வு
138,athirvu,அதிர்வு,அதிர்வு
139,adhirvukaly,அதிர்வுகளை,அதிர்வுகளி
140,athirvukalai,அதிர்வுகளை,அதிர்வுகளை
141,athirvukalay,அதிர்வுகளை,அதிர்க்குவலை
142,athirvugal,அதிர்வுகள்,அதிர்வுகள்
143,athirvukal,அதிர்வுகள்,அதிர்வுகள்
144,adhilum,அதிலும்,அதிருவும்
145,athillum,அதிலும்,அதில்லும்
146,athilum,அதிலும்,அதிருவும்
147,adhilaeyae,அதிலேயே,அதிலேயே
148,adhileye,அதிலேயே,அதிலேயே
149,athilaeyae,அதிலேயே,அதிலேயே
150,athileye,அதிலேயே,அதிலேயே
151,adheedhamaana,அதீதமான,அதேதமான
152,adhidhamana,அதீதமான,அதியாம்பம்
153,atheethamaana,அதீதமான,அதேதமான
154,athithamana,அதீதமான,அதிதமான
155,adhaepoal,அதேபோல்,அதேபோல்
156,ateepool,அதேபோல்,எட்டோர்ட்
157,atepol,அதேபோல்,அட்டோர்டு
158,athaepool,அதேபோல்,அதேபோல்
159,aththiyaayangalil,அத்தியாயங்களில்,அத்தேயாணைகள்
160,aththiyaayangkalil,அத்தியாயங்களில்,அத்தேயாணக்களில்
161,aththiyaayangalai,அத்தியாயங்களை,அத்தேயிலக்கால்
162,aththiyaayangkalai,அத்தியாயங்களை,அத்தேயிகளான
163,aththiyaayangal,அத்தியாயங்கள்,ஆத்தியானிகள்
164,aththiyaayangkal,அத்தியாயங்கள்,ஆத்தியாண்கள்
165,aththiyaayaththin,அத்தியாயத்தின்,அத்தேயியதால்
166,aththiyaayaththil,அத்தியாயத்தில்,அத்தேயியதால்
167,aththiyaayam,அத்தியாயம்,ஆத்தியாயும்
168,andhak,அந்தக்,அந்தக்
169,andhakh,அந்தக்,அந்தக்
170,anthak,அந்தக்,அந்தக்
171,andhandha,அந்தந்த,அந்தந்த
172,anthantha,அந்தந்த,அந்தந்த
173,andhoni,அந்தோனி,அந்தோணி
174,anthoni,அந்தோனி,அந்தோணி
175,anthony,அந்தோனி,அந்தோணி
176,antony,அந்தோனி,அந்தோணி
177,ananrtham,அனர்த்தம்,அனந்தரம்
178,anarththam,அனர்த்தம்,அன்றத்தம்
179,aneeta,அனிதா,அனிதா
180,aneetaa,அனிதா,அனிதா
181,aniita,அனிதா,அணிதா
182,aniitaa,அனிதா,அணியாத
183,anita,அனிதா,அணிட
184,anitaa,அனிதா,அணிடா
185,anitha,அனிதா,அணித
186,anithaa,அனிதா,அணிதா
187,anubama,அனுபமா,அனுபமா
188,anubamaa,அனுபமா,அனுபமா
189,anupama,அனுபமா,அனுபமா
190,anupamaa,அனுபமா,அனுபமா
191,anubavika,அனுபவிக்க,அனுபவிக்க
192,anubavikka,அனுபவிக்க,அனுபவிக்க
193,anupavikka,அனுபவிக்க,அனுபவிக்க
194,anuppia,அனுப்பிய,அனுப்பிய
195,anuppiya,அனுப்பிய,அனுப்பிய
196,anuppiyathu,அனுப்பியது,அனுப்பியது
197,anuraadhapuraththil,அனுராதபுரத்தில்,அனுபரத்துத்தார்டி
198,anuraathapuraththil,அனுராதபுரத்தில்,அனுபரத்தப்பட்டில்
199,anuradhapuraththil,அனுராதபுரத்தில்,அனுபரத்தப்பட்டில்
200,anurathapuraththil,அனுராதபுரத்தில்,அனுபரத்தப்பட்டில்
201,anuraathapuram,அனுராதபுரம்,அனுபராதப்பும்
202,anuradhapuram,அனுராதபுரம்,அனுபத்தரைப்பும்
203,anurathapuram,அனுராதபுரம்,அனுபத்தரைப்பும்
204,anniya,அன்னிய,அண்ணிய
205,anbai,அன்பை,அன்பை
206,anbaip,அன்பைப்,அன்பைப்
207,anpaip,அன்பைப்,அன்பைப்
208,anbaiyum,அன்பையும்,அன்பையும்
209,andri,அன்றி,ஆண்ட்ரி
210,antri,அன்றி,ஆண்ட்ரி
211,andriravu,அன்றிரவு,அன்றிரவு
212,antriravu,அன்றிரவு,அன்றிரவு
213,abinaya,அபிநய,அபிநாய்
214,apinaya,அபிநய,அபிநாய்
215,abudhabiyil,அபுதாபியில்,அப்பைத்துளை
216,abuthaabiyil,அபுதாபியில்,அப்போதியில்
217,abul,அபுல்,அப்பல்
218,aboorvamaana,அபூர்வமான,ஒப்புமன்சா
219,aburvamaana,அபூர்வமான,ஒப்புமனாக
220,apoorvamaana,அபூர்வமான,ஒப்புமனாக
221,appagudhi,அப்பகுதி,அப்பகுதி
222,appaguthi,அப்பகுதி,அப்பகுதி
223,appakuthi,அப்பகுதி,அப்பகுதி
224,appaguthigalil,அப்பகுதிகளில்,அப்பகுதிகளில்
225,appaguthikalil,அப்பகுதிகளில்,அப்பகுதிகளில்
226,appakuthikalil,அப்பகுதிகளில்,அப்பகுதிகளில்
227,appaguthikku,அப்பகுதிக்கு,அப்பகுதிக்கு
228,appakuthikku,அப்பகுதிக்கு,அப்பகுதிக்கு
229,appaguthiyin,அப்பகுதியின்,அப்பகுதியின்
230,appakuthiin,அப்பகுதியின்,அப்பகுதியின்
231,appakuthiyin,அப்பகுதியின்,அப்பகுதியின்
232,appadaththil,அப்படத்தில்,அப்படத்தில்
233,appadatthil,அப்படத்தில்,அப்பட்டத்தில்
234,appadaththai,அப்படத்தை,அப்படத்தை
235,appadatthai,அப்படத்தை,அப்படத்தை
236,appadiyaanaal,அப்படியானால்,அப்பாய்லியாவர்
237,appaadal,அப்பாடல்,ஆப்பாடல்
238,appaatal,அப்பாடல்,ஆப்பாடல்
239,apengal,அப்பெண்கள்,ஆப்னாங்
240,apenkal,அப்பெண்கள்,ஆப்னாங்
241,appenkal,அப்பெண்கள்,ஆப்பினல்
242,appoluthu,அப்பொழுது,அப்பல்லுது
243,appozhudhu,அப்பொழுது,அப்பலுது
244,appozhuthu,அப்பொழுது,அப்பழுது
245,americar,அமெரிக்கர்,அமெரிஸ்கர்
246,amerikkar,அமெரிக்கர்,அமெரிக்கர்
