,inputs,targets,predictions
0,faarm,ஃபார்ம்,பார்
1,farm,ஃபார்ம்,பார்
2,form,ஃபார்ம்,ஃபோர்
3,hpaarm,ஃபார்ம்,உகாரம்
4,face,ஃபேஸ்,பாக்
5,hpaes,ஃபேஸ்,ஐபெஸ்
6,pace,ஃபேஸ்,பாக்
7,paes,ஃபேஸ்,பயஸ்
8,phase,ஃபேஸ்,பாசி
9,aeathimuka,அஇஅதிமுக,ஏதிமுக
10,aiathimuka,அஇஅதிமுக,அயதிமுக
11,ayiathimuka,அஇஅதிமுக,அய்யத்தில்க
12,agaththi,அகத்தி,அகத்தி
13,akaththi,அகத்தி,அகத்தி
14,agaththikkeerai,அகத்திக்கீரை,அகத்திக்கீரை
15,akaththikkeerai,அகத்திக்கீரை,அகத்திக்கீரை
16,agamadhabaath,அகமதாபாத்,அகமதபாத
17,agamathaabaath,அகமதாபாத்,அகமதாபாத்
18,ahamadabad,அகமதாபாத்,ஆமாடப்பட்
19,ahemadaabad,அகமதாபாத்,அமிநாடப்
20,ahmadabad,அகமதாபாத்,அமராபட்
21,ahmedabad,அகமதாபாத்,அமீடப்பட்
22,akamatapat,அகமதாபாத்,அகமதப்பட்
23,agamadhabaatthil,அகமதாபாத்தில்,அகமதகத்தில்
24,agamathaabaaththil,அகமதாபாத்தில்,அகமதாபாத்தில்
25,ahmadabadil,அகமதாபாத்தில்,அமிடாபடில்
26,ahmedabadil,அகமதாபாத்தில்,அமீடப்படில்
27,ahmedabadthil,அகமதாபாத்தில்,அமிடப்பத்தில்
28,agazhaaivil,அகழாய்வில்,அகழாய்வில்
29,agazhaayvil,அகழாய்வில்,அகழாய்வில்
30,akalvaaivil,அகழாய்வில்,அகழ்வாய்வில்
31,akazhaayvil,அகழாய்வில்,அகழாய்வில்
32,akazhvaaivil,அகழாய்வில்,அகழ்வாய்வில்
33,ahimsai,அகிம்சை,அஹிந்சை
34,akimsai,அகிம்சை,அகிம்சை
35,angkeegariththu,அங்கீகரித்து,அங்கீகரித்து
36,angkeekariththu,அங்கீகரித்து,அங்கீகரித்து
37,angkeegariththullathu,அங்கீகரித்துள்ளது,அங்கீகரித்துள்ளது
38,angkeekariththullathu,அங்கீகரித்துள்ளது,அங்கீகரித்துள்ளது
39,angkeegaarangkal,அங்கீகாரங்கள்,அங்கீகாரங்கள்
40,angkeekaarangkal,அங்கீகாரங்கள்,அங்கீகாரங்கள்
41,angkeegaaraththaip,அங்கீகாரத்தைப்,அங்கீகாரத்தைப்
